    ,user,movie
58214,3547,6497
58213,1370,7822
58212,677,1452
58211,12,27217
58208,61,2007
58207,89,3462
58206,1223,1957
58205,96,2822
58204,1587,642
58203,1762,5657
58202,2049,2032
58201,2462,4352
58200,2560,7762
58197,1426,602
58196,810,7367
58195,698,6687
58194,201,22457
58193,2917,212
58192,460,1967
58191,2385,1822
58189,614,697
58188,4408,1547
58187,1643,2827
58185,278,5962
58184,922,4522
58183,2798,3322
58182,383,42087
58181,747,8442
58180,82,8002
58179,1230,13517
58177,4121,19672
58176,180,14707
58174,747,5182
58173,2448,10977
58172,523,13547
58170,3491,12157
58169,1440,6462
58168,1265,1172
58167,1237,197
58166,26,3162
58164,124,2182
58163,320,4282
58161,1426,17762
58160,1055,4452
58159,649,1972
58158,341,19312
58157,922,40792
58156,2805,5107
58154,1790,1402
58153,1853,2347
58152,285,2917
58151,82,7307
58150,2357,422
58149,1006,5532
58147,446,1927
58146,1034,8172
58145,4016,927
58144,3092,11107
58143,1013,10217
58141,61,1612
58140,1405,6697
58139,68,4442
58138,201,11607
58137,1895,1147
58136,3708,3462
58135,1055,87
58134,2392,7867
58133,4415,5002
58132,635,8867
58131,1405,2592
58129,887,5892
58127,1713,13752
58126,152,6922
58125,866,9167
58124,796,3212
58123,2525,2127
58122,19,6472
58121,1531,35477
58120,1139,17772
58118,782,6227
58117,656,2242
58115,173,877
58114,3505,32132
58113,698,19432
58112,383,6252
58111,754,2082
58110,404,477
58108,383,1027
58107,901,4382
58106,684,13332
58103,2350,24427
58102,1405,2502
58101,1300,3252
58100,1440,24757
58099,1909,3027
58098,1153,6217
58097,180,43702
58096,1055,4637
58094,873,6832
58093,747,13487
58092,397,10872
58091,264,12352
58090,712,25057
58089,747,2302
58088,2609,1222
58087,355,43497
58086,1076,1907
58085,404,20227
58084,82,12972
58083,2371,1412
58082,3981,3082
58081,26,35867
58080,3904,857
58079,782,337
58078,1356,3477
58077,1692,3592
58076,1713,2707
58075,3925,6157
58074,1111,1782
58072,376,2432
58071,537,427
58070,2077,13072
58069,852,3582
58067,1419,3062
58066,537,30357
58065,264,29562
